iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
COL,2010,-0.423333108,-0.123824142,-1.537184834,0.157253936,-0.27138561,-0.13235718,-0.165322231
COL,2011,-0.317527682,-0.050426964,-1.284655571,0.279601455,-0.217361465,-0.059714228,-0.076428664
COL,2012,-0.422298342,-0.001164993,-1.401810408,0.326594681,-0.325919122,-0.063991345,-0.105696944
COL,2013,-0.441208124,0.053151831,-1.291971803,0.339824229,-0.388269097,-0.081308313,-0.10912529025
COL,2014,-0.397509813,-0.135854036,-1.114594102,0.444412023,-0.25229153,-0.043343797,-0.085310839
COL,2015,-0.352601826,-0.093739085,-1.072663784,0.407719731,-0.24723582,0.004046315,-0.071464250000000007
COL,2016,-0.384617507,-0.036966585,-0.887163997,0.339025348,-0.266068161,0.122125924,-0.08715672625000001
COL,2017,-0.429829597,-0.140821368,-0.779457808,0.257446647,-0.366633266,0.112731606,-0.169959396
COL,2018,-0.340439767,-0.139370114,-0.806941986,0.224889174,-0.383742154,0.172213316,-0.15966571525
COL,2019,-0.283615679,0.032715105,-0.979486108,0.317910939,-0.391183972,0.204583406,-0.08104340175
COL,2020,-0.252498597,0.008475319,-0.70115006,0.225666419,-0.491402626,0.143006012,-0.12743987125
COL,2021,-0.365944803,-0.04782765,-0.954574347,0.202144697,-0.470828503,0.094030172,-0.17061406475
COL,2022,-0.362088114,0.01379638,-0.629958332,0.140449166,-0.427760243,0.16868718,-0.15890070275
COL,2023,-0.309191287,-0.07587792,-0.71731323,0.101034269,-0.458272934,0.20521374,-0.185576968
CRI,2000,0.698608518,0.262206674,0.868542314,0.697727382,0.537079811,1.094698906,0.54890559625
CRI,2002,0.444571555,0.306561232,1.068694472,0.4414334,0.554997206,1.110818624,0.43689084825
CRI,2003,0.516545832,0.211418957,0.59575659,0.623164058,0.526866555,0.964284658,0.4694988505
CRI,2004,0.284917921,0.212290198,0.631576538,0.546658218,0.502903223,0.971273601,0.38669239
CRI,2005,0.365192473,0.149778128,0.708228171,0.594156504,0.49726367,0.816958487,0.40159769375
CRI,2006,0.378651321,0.030958638,0.736050129,0.382123381,0.389714092,0.915722609,0.295361858
CRI,2007,0.457115024,0.211472005,0.582772672,0.450156897,0.354344755,0.935347319,0.36827217025
CRI,2008,0.493208975,0.270571917,0.359765232,0.56618762,0.453689337,0.966759682,0.44591446225
CRI,2009,0.715470135,0.321134418,0.587060392,0.518184364,0.5788095,1.005833626,0.53339960425
CRI,2010,0.664391637,0.298928887,0.691537201,0.586027026,0.53576088,1.039889455,0.5212771075
CRI,2011,0.593173563,0.283398628,0.508276045,0.596260905,0.443259001,1.053862691,0.47902302425
CRI,2012,0.570753694,0.47439906,0.638402462,0.743631065,0.528911471,1.088219762,0.5794238224999999
CRI,2013,0.577441454,0.45591116,0.677918017,0.747273743,0.56385529,1.078458548,0.58612041175
CRI,2014,0.725378335,0.362441927,0.577418208,0.656426251,0.583374798,1.138336062,0.5819053277499999
CRI,2015,0.687055707,0.306554466,0.669974029,0.664466143,0.492798924,1.15161109,0.53771881
CRI,2016,0.678310812,0.283874512,0.648553014,0.526479542,0.431041658,1.117909908,0.479926631
CRI,2017,0.432391852,0.222521707,0.597007215,0.433504254,0.428868711,1.121759653,0.379321631
CRI,2018,0.501138449,0.352706403,0.453386009,0.476172715,0.467835367,1.119007587,0.44946323350000006
CRI,2019,0.626857102,0.347661406,0.430319965,0.544661999,0.529464185,1.094272375,0.512161173
CRI,2020,0.661411285,0.196500391,0.746818066,0.477579594,0.498832434,1.120298505,0.458580926
CRI,2021,0.470307708,0.222867385,0.860422552,0.438738018,0.423667222,1.080308795,0.38889508325
CRI,2022,0.465857774,0.052602667,0.956596434,0.567061722,0.435932785,1.073407769,0.38036373700000004
CRI,2023,0.653749406,0.260196477,0.984186828,0.543547571,0.389316648,1.069906354,0.46170252549999996
ECU,2000,-0.799629569,-0.685290277,-0.572284937,-0.452023268,-0.666360259,-0.247218117,-0.65082584325
ECU,2002,-0.868261039,-0.831196308,-0.759720922,-0.729014635,-0.756515443,-0.04498877,-0.79624685625
ECU,2003,-0.728124201,-0.936161399,-0.96105659,-0.723995984,-0.780572593,-0.121541075,-0.79221354425
ECU,2004,-0.726669908,-0.957234144,-0.842910349,-0.699335694,-0.76489985,-0.244635746,-0.7870348989999999
ECU,2005,-0.735878944,-0.967794538,-0.793961823,-0.777636588,-0.821377993,-0.363743484,-0.82567201575
ECU,2006,-0.784096122,-1.037939191,-0.853825331,-1.098829389,-1.031002641,-0.253862709,-0.98796683575
ECU,2007,-0.74563235,-0.86144954,-0.815987229,-1.136937976,-1.032861471,-0.161115885,-0.94422033425
ECU,2008,-0.654705822,-0.854377806,-0.728682399,-1.127548575,-1.105306387,-0.222304702,-0.9354846474999999
ECU,2009,-0.744574428,-0.738012195,-0.673675776,-1.259179473,-1.205040216,-0.250357389,-0.986701578
ECU,2010,-0.70774436,-0.674511254,-0.586674452,-1.12405169,-1.143229127,-0.23108083,-0.91238410775
ECU,2011,-0.641708136,-0.527820349,-0.686557531,-0.956343532,-1.144285321,-0.293364823,-0.8175393344999999
ECU,2012,-0.508597851,-0.474284679,-0.57030648,-0.943592429,-1.063925147,-0.296114117,-0.7476000265
ECU,2013,-0.502911985,-0.448586315,-0.178656712,-0.83761102,-0.870363593,-0.252790272,-0.66486822825
ECU,2014,-0.741118491,-0.385554224,-0.018533209,-0.920283794,-0.970792294,-0.202547446,-0.75443720075
ECU,2015,-0.672376871,-0.394527704,-0.147344977,-1.141577363,-0.956418455,-0.211860508,-0.79122509825
ECU,2016,-0.680792749,-0.383570671,-0.091710433,-0.958474398,-0.649083614,-0.24726963,-0.667980358
ECU,2017,-0.626104653,-0.352247715,-0.078932077,-1.023587346,-0.718140543,-0.172362104,-0.6800200642500001
ECU,2018,-0.629500389,-0.317793667,-0.094721168,-0.886888802,-0.663264275,8.32675e-4,-0.62436178325
ECU,2019,-0.509275019,-0.367696136,-0.238217756,-0.796693981,-0.542950988,0.031720877,-0.5541540309999999
ECU,2020,-0.504086554,-0.47050634,-0.270243227,-0.871133387,-0.540949643,-0.014699864,-0.596668981
ECU,2021,-0.59461385,-0.241593525,-0.25738737,-0.719614744,-0.354992211,0.099666551,-0.4777035825
ECU,2022,-0.630264878,-0.309278339,-0.371224314,-0.459721535,-0.620780826,0.02739471,-0.5050113945
ECU,2023,-0.647337437,-0.494244993,-0.338139981,-0.718200982,-0.957790792,-0.061911304,-0.704393551
GTM,2000,-0.830889881,-0.56138736,-0.768333912,-0.288512379,-0.8857916,-0.285944521,-0.641645305
GTM,2002,-0.660021722,-0.563064635,-0.834293127,-0.165764809,-0.990891993,-0.358615816,-0.59493578975
GTM,2003,-0.73712796,-0.570908546,-0.774796605,-0.349703223,-1.100940704,-0.483628333,-0.68967010825
GTM,2004,-0.619750619,-0.805464208,-0.808034837,-0.226334214,-1.062098503,-0.324404269,-0.678411886
GTM,2005,-0.684203923,-0.796116292,-0.835618198,-0.500911415,-1.048306942,-0.359379411,-0.757384643
GTM,2006,-0.837902725,-0.69197464,-0.735238791,-0.315376073,-1.097761035,-0.168789566,-0.73575361825
GTM,2007,-0.769333959,-0.663869917,-0.753424942,-0.305537134,-1.121048689,-0.171275631,-0.71494742475
GTM,2008,-0.666637182,-0.647270858,-0.713971555,-0.252038717,-1.122285604,-0.201825634,-0.6720580902500001
GTM,2009,-0.533482134,-0.709745109,-0.925672591,-0.216534749,-1.013138294,-0.250002414,-0.6182250715
GTM,2010,-0.540784419,-0.720754623,-0.852924466,-0.172244892,-0.944123864,-0.303283572,-0.5944769495
GTM,2011,-0.537248194,-0.72451061,-0.7441414,-0.211610183,-1.031414747,-0.311964631,-0.6261959335
GTM,2012,-0.678762555,-0.787666738,-0.633820176,-0.263000935,-1.083919644,-0.356138647,-0.7033374680000001
GTM,2013,-0.639291465,-0.727540255,-0.674156249,-0.287112713,-1.094258666,-0.366608381,-0.68705077475
